price,bedrooms,bathrooms,floorsize,city,zipcode
292001,0,1,383,SanFrancisco,94103
998000,2,1,1024,SanFrancisco,94131
420000,3,2,1236,ElCajon,92020
390000,3,3,1458,Ontario,91761
885000,2,3,1210,Pasadena,91101
390000,3,3,1286,RanchoCucamonga,91701
385000,2,2,1183,GardenGrove,92840
1799000,4,4,2508,LosAngeles,90024
399900,2,2,1245,DiamondBar,91765
375000,2,2,1018,LongBeach,90814
375000,2,2,813,LosAngeles,90032
510000,2,2,1016,SanClemente,92672
450000,3,2,1287,Napa,94559
688000,3,3,1601,Irvine,92602
465000,2,2,1291,Inglewood,90301
674950,3,3,1560,NorthHollywood,91601
319900,2,2,1117,LagunaWoods,92637
527000,2,2,1111,SantaRosa,95404
325000,3,3,1058,Vallejo,94590
325000,2,2,1370,SantaAna,92704
479900,2,2,1300,Torrance,90503
610000,0,1,500,SanFrancisco,94123
169500,2,1,856,Lodi,95240
484000,3,3,1713,Vallejo,94591
274987,2,1,718,Stockton,95204
459000,3,2,1436,LosAngeles,91405
1595000,2,3,1920,LosAngeles,90015
384999,2,3,1480,ChulaVista,91913
798000,2,2,1583,Irvine,92612
559888,3,2,1197,SanJose,95111
3400000,3,3,1725,SanDiego,92109
190000,1,1,762,Murrieta,92563
306727,2,1,732,SanDiego,92127
579000,2,2,1071,Greenbrae,94904
560000,3,3,1791,PanoramaCity,91402
560000,3,3,1791,PanoramaCity,91402
250000,3,2,1103,Sacramento,95823
379000,1,2,875,LosAngeles,90732
359999,3,2,1273,Upland,91786
334999,3,3,1292,Ontario,91762
275600,2,2,582,SanDiego,92104
421191,2,1,1117,SanFrancisco,94124
259000,2,2,1034,PalmSprings,92264
435000,2,3,1324,Santee,92071
212900,2,2,1818,BermudaDunes,92203
555000,3,2,1430,SanDiego,92110
290000,1,1,605,ElCajon,92019
294950,3,2,1168,ElkGrove,95758
365000,2,2,984,SantaRosa,95401
995000,3,2,1951,SanJose,95135
599000,3,3,1430,RanchoMissionViejo,92694
489900,2,2,897,SanDiego,92107
150000,2,2,1148,Tehachapi,93561
285000,2,2,1193,Sacramento,95835
799000,3,3,1617,NorthHollywood,91601
1250000,3,2,1392,SanFrancisco,94133
649999,2,2,1177,SantaClara,95054
309000,2,1,1100,SealBeach,90740
349000,2,2,923,LosAngeles,91316
299500,3,1,1104,Sacramento,95838
399000,3,3,1781,Highland,92346
518888,2,2,1348,SanJose,95135
612000,2,3,1260,LosAngeles,91607
384900,3,2,1759,PalmDesert,92260
610000,2,2,989,SanJose,95123
955000,4,5,2986,LaQuinta,92253
399500,3,2,1584,Oxnard,93036
409800,2,2,1098,SanDiego,92120
729500,2,3,1139,SanDiego,92101
899000,3,2,1444,LosAngeles,90066
1249000,3,3,1854,LosAngeles,90046
399999,2,2,1008,ChulaVista,91913
355000,2,3,1581,RanchoMirage,92270
400000,2,1,650,SanDiego,92104
499000,3,2,1104,Carlsbad,92010
199900,2,2,1137,Sacramento,95833
685000,2,2,985,Oxnard,93035
333004,1,1,795,SanFrancisco,94103
375000,3,3,1803,PalmDesert,92260
599000,2,1,842,SanFrancisco,94110
1018000,3,3,1727,SanJose,95126
240000,1,1,506,SanFrancisco,94124
1100000,2,2,1154,SanFrancisco,94133
315000,2,1,756,SanDiego,92115
595000,1,2,835,LosAngeles,90049
1589000,3,2,1409,SanFrancisco,94107
1049000,2,2,984,SanFrancisco,94114
425000,2,2,895,Orange,92865
685000,1,1,643,SantaMonica,90403
995000,2,2,1222,SanFrancisco,94116
995000,2,2,983,SanFrancisco,94109
349900,2,2,870,Tarzana,91356
629000,1,1,784,SanFrancisco,94121
459000,2,2,1032,SignalHill,90755
1099000,3,2,1288,SanFrancisco,94118
200000,2,1,841,SouthLakeTahoe,96150
899000,2,2,1100,SanFrancisco,94107
1448000,2,2,1625,SanDiego,92101
599000,2,2,849,MammothLakes,93546
399000,2,2,1015,LosAngeles,91606
389000,2,2,1155,Bellflower,90706
650000,2,2,988,SanJose,95131
389000,1,1,800,LosAngeles,90042
575000,1,1,728,LosAngeles,90069
415000,2,3,1209,SantaAna,92701
749000,2,3,889,WestHollywood,90069
450000,4,2,1497,Anaheim,92801
440000,2,2,1102,SanDiego,92131
319850,2,2,1307,PalmSprings,92264
1285000,2,3,1692,BeverlyHills,90211
669000,2,2,1161,SanDiego,92101
529000,3,3,1642,Azusa,91702
389000,2,2,1107,LosAngeles,90732
385000,4,3,2062,Fontana,92336
995000,2,2,1071,LosAngeles,90027
630000,3,2,1430,SanDiego,92110
650000,1,1,700,SantaMonica,90402
1199000,2,2,1513,SanFrancisco,94110
535000,1,1,500,SanDiego,92109
382800,2,2,939,Martinez,94553
395000,2,2,910,SantaClarita,91355
463670,2,2,1066,Alameda,94501
289000,3,2,1218,Keyes,95328
405000,2,2,1044,GardenGrove,92843
863500,2,1,775,LagunaBeach,92651
289900,2,2,928,ElCajon,92020
220000,3,2,1440,Modesto,95350
489900,5,3,2453,ElkGrove,95624
490681,2,1,781,SanFrancisco,94103
810000,2,2,970,SantaMonica,90404
599000,1,2,812,Emeryville,94608
480000,3,2,1358,ChinoHills,91709
679000,2,1,1342,LosAngeles,90019
765000,3,3,1443,Irvine,92603
239500,2,2,1016,Sacramento,95825
630000,3,3,1698,MissionViejo,92694
535000,4,3,1719,SantaClarita,91350
345000,2,2,979,LosAngeles,91356
510000,3,3,1859,Valencia,91355
479000,2,1,885,SanJose,95122
364000,2,2,943,Inglewood,90302
402900,3,3,1523,Temecula,92592
575000,1,1,702,LosAngeles,90025
410000,4,3,1905,Stockton,95206
349999,2,1,926,Gardena,90247
595000,2,3,1170,Tustin,92782
340000,1,1,610,WoodlandHills,91367
729000,2,2,1430,LosAngeles,90020
314000,2,2,1121,Riverside,92507
439000,3,2,1051,Lomita,90502
498000,3,3,1328,MontereyPark,91754
1199000,2,2,1312,SanJose,95110
390000,3,3,1268,SantaClarita,91387
164990,2,2,1100,Lancaster,93534
1025000,2,2,1835,Pasadena,91105
1550000,3,2,1219,CoronaDelMar,92625
525000,3,2,1306,HuntingtonBeach,92646
499900,3,2,1234,SealBeach,90740
198888,1,1,561,HuntingtonBeach,92648
845000,1,2,1420,SanJose,95112
519000,4,3,2066,Chino,91710
788000,2,2,1507,Irvine,92612
545000,2,2,997,Irvine,92614
201815,0,1,445,Berkeley,94709
320000,2,2,988,Anaheim,92805
215000,2,3,1116,Palmdale,93552
335000,1,1,610,WoodlandHills,91367
410000,2,3,1210,Oceanside,92057
290000,2,2,795,SantaClarita,91351
968000,2,2,1214,SantaMonica,90403
165000,1,1,378,SanDiego,92104
242000,1,1,573,SanDiego,92115
734900,2,2,1040,LosAngeles,90020
179000,2,1,1079,Bakersfield,93309
425000,2,2,990,SantaClarita,91355
499900,2,2,1154,LongBeach,90814
235000,1,1,731,SantaMaria,93455
221000,3,2,1459,DesertHotSprings,92240
410000,2,2,973,Novato,94947
695000,3,3,1417,MontereyPark,91755
637000,3,3,2448,LaQuinta,92253
499000,2,2,1177,LosAngeles,91403
429000,1,1,720,LongBeach,90802
978000,3,2,1591,Fremont,94539
359000,2,2,1786,PalmDesert,92260
765000,1,1,982,SanFrancisco,94107
309000,1,1,597,LongBeach,90804
499999,2,2,1290,LosAngeles,91325
249000,1,1,827,DiamondBar,91765
310000,2,1,832,Oxnard,93033
4495000,2,3,1755,Malibu,90265
460000,2,2,1071,Oxnard,93035
950000,3,2,1967,LagunaWoods,92637
1100000,2,1,777,SantaMonica,90405
217000,2,2,1080,MorenoValley,92553
1195000,3,1,1490,SanFrancisco,94117
459900,3,2,1200,Hayward,94544
265000,2,2,862,SanDiego,92105
374900,2,1,957,LakeForest,92630
252900,2,2,1235,Banning,92220
549990,2,2,1130,DanaPoint,92629
250000,2,1,840,Modesto,95358
405000,3,1,867,Cerritos,90703
285000,3,2,1570,Lancaster,93536
699888,3,3,1413,Livermore,94551
349900,2,2,1130,Oceanside,92057
468000,2,3,1504,ChulaVista,91913
420000,2,1,798,SanJose,95123
995000,2,1,788,SanFrancisco,94110
899000,4,4,1944,NorthHollywood,91601
309000,3,2,1074,Escondido,92025
439900,2,2,906,Encinitas,92024
799950,3,2,1242,Fremont,94538
449999,3,3,1456,Whittier,90602
859000,2,1,671,SanFrancisco,94115
330000,3,2,1193,Rocklin,95677
905000,3,4,1922,LaQuinta,92253
565000,2,2,1685,Upland,91786
549950,1,1,1021,SanJose,95123
589000,2,2,1180,Healdsburg,95448
599888,3,2,1419,SanJose,95127
599000,2,2,1033,LosAngeles,90034
859500,3,2,1707,Pasadena,91101
405000,2,2,939,RanchoSantaMargarita,92688
775000,2,2,938,SantaMonica,90405
998000,2,2,1549,Aptos,95003
262500,1,1,741,SanDiego,92115
262500,1,1,741,SanDiego,92115
100000,2,1,840,Clovis,93612
374900,2,2,938,LongBeach,90807
439999,3,2,1203,SanDiego,92126
688000,1,1,720,SanFrancisco,94107
659000,3,3,1367,AlisoViejo,92656
1129000,2,1,940,SanFrancisco,94118
428000,3,3,1530,LagunaWoods,92637
210000,2,2,1057,LagunaWoods,92637
955000,1,2,1240,LosAngeles,90292
539888,2,2,1236,Torrance,90503
