price,bedrooms,bathrooms,floorsize,city,zipcode
599000,3,4,1836,SantaAna,92705
11950000,3,6,4597,LosAngeles,90024
329000,2,1,950,Oakland,94605
272999,3,2,1551,Lancaster,93536
289000,1,1,700,Azusa,91702
889430,4,4,1848,Irvine,92614
799000,1,1,741,SanFrancisco,94109
598000,4,3,1436,MontereyPark,91755
245000,2,2,1330,PalmDesert,92211
379900,2,2,1091,LongBeach,90802
414700,2,2,1066,Whittier,90601
339900,4,2,1642,CitrusHeights,95621
289900,3,2,1716,Denair,95316
235000,1,1,506,SanDiego,92108
210000,3,2,1285,CathedralCity,92234
359000,2,2,840,Sacramento,95814
299880,2,2,949,Ontario,91762
1150000,3,3,2011,Irvine,92620
389900,3,2,1113,Winnetka,91306
325000,3,3,1472,Murrieta,92563
409900,1,1,731,Irvine,92614
575000,4,3,1728,Fullerton,92832
480000,3,2,1095,YorbaLinda,92886
325000,3,2,1058,Vallejo,94590
725000,1,1,732,SanFrancisco,94158
399000,2,2,1090,Duarte,91010
299900,2,2,1156,Murrieta,92563
475000,1,1,604,WestHollywood,90069
395000,2,1,886,LakeForest,92630
366537,1,1,455,SanFrancisco,94103
199900,3,2,944,Mentone,92359
399000,2,2,878,SanDiego,92117
418000,4,3,1597,Pomona,91766
377900,2,2,934,Vista,92081
124000,1,1,684,Sacramento,95842
355000,2,2,693,MissionViejo,92691
399000,1,1,797,SanDiego,92101
189000,2,2,1152,PalmSprings,92264
798000,2,1,832,SanFrancisco,94121
730000,1,1,847,SanFrancisco,94105
830000,2,2,1040,LosAngeles,90049
249000,2,2,1152,Hemet,92545
769000,2,2,1235,SanJose,95112
360000,3,2,1400,Manteca,95336
339000,2,2,1082,SouthElMonte,91733
375000,2,2,1141,SantaClarita,91321
1250000,2,3,1750,WestHollywood,90069
559900,2,2,885,CulverCity,90230
469000,2,2,855,Monterey,93940
595000,3,2,1346,ImperialBeach,91932
249000,1,1,700,NorthHollywood,91605
984500,3,3,1824,StudioCity,91604
619000,2,2,824,LosAngeles,90025
291189,1,1,795,SanDiego,92104
407000,2,2,1026,SanDiego,92108
1395000,3,2,1550,SanFrancisco,94117
689000,1,1,628,SanFrancisco,94117
649000,2,2,1090,SantaBarbara,93101
465000,3,2,1285,SantaAna,92705
280000,4,2,1406,Sacramento,95823
614900,1,1,846,LongBeach,90802
799000,1,1,630,SanFrancisco,94115
405000,2,2,941,Inglewood,90302
349000,4,4,2450,Murphys,95247
699000,2,2,1323,LosAngeles,90036
389000,3,2,1044,LosAngeles,91344
